IP address,Protocol,Packet Size,Flow Duration,Packets per Second,Min Flow Time,Mean Flow Time,Max Flow Time,Communication_Frequency,device,Status
103.135.110.11,SSLv2,1394,0.248692,13,0.060217,0.124346,0.188475,12.06311421,Non IoT-device,Not Available
103.135.110.11,TCP,74,0.44554,21,1.70E-05,0.0556925,0.35785,20.20020649,Non IoT-device,Not Available
103.135.110.11,TCP,66,213.894516,1,1.30E-05,7.375672966,42.804387,0.14025605,Non IoT-device,Not Available
103.135.110.11,TCP,1394,148.724928,15,8.00E-06,0.067663753,51.731069,14.78568542,Non IoT-device,Not Available
103.135.110.11,TCP,178,0.446882,9,0.005088,0.148960667,0.288683,8.950908741,Non IoT-device,Not Available
103.135.110.11,TLSv1.3,1394,148.724953,6,8.00E-06,0.192151102,55.145001,5.210961472,Non IoT-device,Not Available
103.135.110.11,TLSv1.3,1089,0.446874,9,0.004943,0.148958,0.289977,8.951068981,Non IoT-device,Not Available
103.135.110.11,TLSv1.3,337,0.55515,15,2.10E-05,0.079307143,0.380163,14.41051968,Non IoT-device,Not Available
103.135.110.11,TLSv1.3,137,0.170156,18,0.000659,0.085078,0.169497,17.6308799,Non IoT-device,Not Available
103.135.110.11,TLSv1.3,105,183.295498,1,0.000165,26.18507114,64.889646,0.043645371,Non IoT-device,Not Available
103.135.110.11,TLSv1.3,90,109.61481,1,5.027434,54.807405,104.587376,0.027368565,Non IoT-device,Not Available
103.135.110.11,TLSv1.3,553,43.090289,1,43.090289,43.090289,43.090289,0.04641417,Non IoT-device,Not Available
103.43.90.54,TCP,66,11.483638,2,1.50E-05,0.820259857,10.102858,1.306206274,Non IoT-device,Not Available
103.43.90.54,TLSv1.2,108,1.255532,2,1.255532,1.255532,1.255532,1.592950239,Non IoT-device,Not Available
104.18.24.173,QUIC,1242,0.309463,13,1.40E-05,0.103154333,0.308305,12.92561631,Non IoT-device,Not Available
104.18.24.173,QUIC,66,1.50E-05,133334,1.50E-05,1.50E-05,1.50E-05,133333.3332,Non IoT-device,Not Available
104.19.130.76,QUIC,1242,6.555931,3,1.40E-05,0.437062067,5.609269,2.440538194,Non IoT-device,Not Available
104.19.130.76,QUIC,575,6.401333,1,6.401333,6.401333,6.401333,0.312434926,Non IoT-device,Not Available
104.19.130.76,QUIC,66,8.973862,2,2.20E-05,1.12173275,4.462379,1.002912681,Non IoT-device,Not Available
104.19.130.76,QUIC,91,6.392333,1,6.392333,6.392333,6.392333,0.312874814,Non IoT-device,Not Available
104.19.130.76,QUIC,70,6.386346,1,6.386346,6.386346,6.386346,0.313168125,Non IoT-device,Not Available
104.21.234.15,QUIC,1242,4.096036,15,1.30E-05,0.068267267,2.059439,14.89244723,Non IoT-device,Not Available
104.21.234.15,QUIC,527,3.707094,1,3.707094,3.707094,3.707094,0.539506147,Non IoT-device,Not Available
104.21.234.15,QUIC,66,4.680558,2,1.60E-05,0.668651143,2.819331,1.70919792,Non IoT-device,Not Available
104.21.234.15,QUIC,91,3.707297,1,3.707297,3.707297,3.707297,0.539476605,Non IoT-device,Not Available
104.21.234.15,QUIC,70,3.71809,1,3.71809,3.71809,3.71809,0.537910594,Non IoT-device,Not Available
104.21.234.15,QUIC,65,1.107141,4,0.295288,0.369047,0.515845,3.612909286,Non IoT-device,Not Available
104.21.80.123,TCP,66,0.59595,7,0.101754,0.19865,0.379355,6.711972481,Non IoT-device,Not Available
104.22.50.98,TCP,74,238.474485,1,238.474485,238.474485,238.474485,0.008386641,Non IoT-device,Not Available
104.22.50.98,TCP,66,245.27104,1,1.40E-05,9.433501538,91.521877,0.110082299,Non IoT-device,Not Available
104.22.50.98,TCP,1514,238.479688,1,91.61576,119.239844,146.863928,0.012579688,Non IoT-device,Not Available
104.22.50.98,TLSv1.3,1514,238.477635,1,238.477635,238.477635,238.477635,0.008386531,Non IoT-device,Not Available
104.22.50.98,TLSv1.3,1477,238.479698,1,238.479698,238.479698,238.479698,0.008386458,Non IoT-device,Not Available
104.22.50.98,TLSv1.3,334,238.500877,1,238.500877,238.500877,238.500877,0.008385713,Non IoT-device,Not Available
104.22.50.98,TLSv1.3,1457,245.180382,1,3.264833,24.5180382,95.287739,0.044864927,Non IoT-device,Not Available
104.22.50.98,TLSv1.3,742,106.848549,1,4.312621,35.616183,63.294131,0.037436166,Non IoT-device,Not Available
104.22.50.98,TLSv1.3,173,240.862549,1,3.264828,30.10781863,98.351526,0.037365709,Non IoT-device,Not Available
104.22.50.98,TLSv1.3,105,117.052944,1,17.397824,39.017648,60.029329,0.034172571,Non IoT-device,Not Available
104.22.50.98,TLSv1.3,743,117.055133,1,20.764567,58.5275665,96.290566,0.025628949,Non IoT-device,Not Available
104.22.50.98,TLSv1.3,741,215.746785,1,74.150104,107.8733925,141.596681,0.01390519,Non IoT-device,Not Available
104.22.50.98,TLSv1.3,97,91.657471,1,91.657471,91.657471,91.657471,0.021820371,Non IoT-device,Not Available
104.244.42.8,TCP,66,0.295753,14,0.04418,0.098584333,0.159841,13.52479941,Non IoT-device,Not Available
108.177.97.101,QUIC,1292,39.910646,1,1.50E-05,2.494415375,39.758906,0.425951512,Non IoT-device,Not Available
108.177.97.101,QUIC,69,40.677101,1,1.20E-05,13.55903367,39.972063,0.098335425,Non IoT-device,Not Available
108.177.97.101,QUIC,1288,39.81802,1,39.81802,39.81802,39.81802,0.050228515,Non IoT-device,Not Available
108.177.97.101,QUIC,145,39.810413,1,39.810413,39.810413,39.810413,0.050238112,Non IoT-device,Not Available
108.177.97.101,QUIC,65,39.729641,1,39.729641,39.729641,39.729641,0.050340248,Non IoT-device,Not Available
108.177.97.101,QUIC,66,39.967805,1,1.006974,19.9839025,38.960831,0.075060414,Non IoT-device,Not Available
119.81.216.16,TCP,74,151.152162,1,0.003627,12.5960135,56.117503,0.086006047,Non IoT-device,Not Available
119.81.216.16,TCP,1514,1.50E-05,133334,1.50E-05,1.50E-05,1.50E-05,133333.3333,Non IoT-device,Not Available
119.81.216.16,TCP,66,151.363971,1,1.40E-05,2.967921,55.71485,0.343542784,Non IoT-device,Not Available
119.81.216.16,TCP,78,119.01025,1,0.318869,39.67008333,74.740802,0.03361055,Non IoT-device,Not Available
119.81.216.16,TLSv1.2,1514,5.00E-05,40000,5.00E-05,5.00E-05,5.00E-05,40000,Non IoT-device,Not Available
119.81.216.16,TLSv1.2,566,151.244386,1,0.105808,12.60369883,55.892977,0.085953604,Non IoT-device,Not Available
119.81.216.16,TLSv1.2,97,151.25362,1,0.113487,12.60446833,55.885301,0.085948356,Non IoT-device,Not Available
119.81.216.16,TLSv1.2,203,149.660931,1,0.016294,13.60553918,56.1921,0.080181247,Non IoT-device,Not Available
13.107.43.16,TCP,66,1.290017,2,1.290017,1.290017,1.290017,1.550367166,Non IoT-device,Not Available
13.107.43.16,TCP,54,70.312928,1,0.079815,10.044704,66.689177,0.113777085,Non IoT-device,Not Available
13.107.43.16,TCP,1514,1.535551,10,1.10E-05,0.118119308,0.872587,9.117248467,Non IoT-device,Not Available
13.107.43.16,TLSv1.2,140,1.305202,2,1.305202,1.305202,1.305202,1.532329862,Non IoT-device,Not Available
13.107.43.16,TLSv1.2,396,1.517234,2,1.517234,1.517234,1.517234,1.318188229,Non IoT-device,Not Available
13.212.19.191,TCP,74,0.308057,20,1.80E-05,0.0616114,0.307903,19.47691499,Non IoT-device,Not Available
13.212.19.191,TCP,66,60.681221,1,1.30E-05,2.42724884,60.003337,0.428468636,Non IoT-device,Not Available
13.212.19.191,TLSv1.3,1514,0.408246,15,3.20E-05,0.0816492,0.3856,14.69702091,Non IoT-device,Not Available
13.212.19.191,TLSv1.3,1171,0.407605,10,3.10E-05,0.135868333,0.385594,9.813422308,Non IoT-device,Not Available
13.212.19.191,TLSv1.3,353,1.30E-05,153847,1.30E-05,1.30E-05,1.30E-05,153846.1538,Non IoT-device,Not Available
13.212.19.191,TLSv1.3,127,0.664627,4,0.664627,0.664627,0.664627,3.009206668,Non IoT-device,Not Available
13.212.19.191,TLSv1.3,480,0.666784,20,1.10E-05,0.055565333,0.437551,19.4965686,Non IoT-device,Not Available
13.212.19.191,TLSv1.3,114,0.228042,31,0.000274,0.038007,0.218869,30.69609984,Non IoT-device,Not Available
13.33.97.116,TCP,74,0.318405,7,0.318405,0.318405,0.318405,6.281308397,Non IoT-device,Not Available
13.33.97.116,TCP,66,240.262106,1,0.0099,34.323158,175.761016,0.033296969,Non IoT-device,Not Available
13.33.97.116,TCP,1494,0.077467,78,1.40E-05,0.0154934,0.077409,77.45233454,Non IoT-device,Not Available
13.33.97.116,TLSv1.3,1494,0.077429,26,0.077429,0.077429,0.077429,25.83011533,Non IoT-device,Not Available
13.33.97.116,TLSv1.3,570,0.077429,26,0.077429,0.077429,0.077429,25.83011533,Non IoT-device,Not Available
13.33.97.116,TLSv1.3,212,0.092581,22,0.092581,0.092581,0.092581,21.60270466,Non IoT-device,Not Available
13.35.166.64,TCP,66,0.942583,6,0.017608,0.23564575,0.790394,5.304572648,Non IoT-device,Not Available
13.35.166.64,TCP,1494,3.50E-05,85715,1.60E-05,1.75E-05,1.90E-05,85714.28565,Non IoT-device,Not Available
13.35.35.46,TCP,66,240.102698,1,0.017856,60.0256745,240.008987,0.020824422,Non IoT-device,Not Available
13.35.35.46,TCP,1494,2.90E-05,103449,1.30E-05,1.45E-05,1.60E-05,103448.2759,Non IoT-device,Not Available
13.71.55.58,TCP,1514,4.10E-05,73171,2.00E-05,2.05E-05,2.10E-05,73170.73174,Non IoT-device,Not Available
137.74.6.209,TCP,74,237.252264,1,1.280218,47.4504528,132.651593,0.025289537,Non IoT-device,Not Available
137.74.6.209,TCP,66,237.30688,1,1.70E-05,12.48983579,57.426698,0.084279057,Non IoT-device,Not Available
137.74.6.209,TLSv1.2,1514,236.009705,1,2.70E-05,78.66990167,236.009647,0.016948456,Non IoT-device,Not Available
137.74.6.209,TLSv1.2,165,236.00967,1,236.00967,236.00967,236.00967,0.008474229,Non IoT-device,Not Available
137.74.6.209,TLSv1.2,340,236.087109,1,236.087109,236.087109,236.087109,0.008471449,Non IoT-device,Not Available
137.74.6.209,TLSv1.2,135,237.352471,1,3.94947,79.11749033,133.856932,0.016852574,Non IoT-device,Not Available
137.74.6.209,TLSv1.2,104,100.933368,1,100.933368,100.933368,100.933368,0.019815053,Non IoT-device,Not Available
137.74.6.209,TLSv1.2,523,235.781004,1,235.781004,235.781004,235.781004,0.008482448,Non IoT-device,Not Available
137.74.6.209,TLSv1.2,216,233.438757,1,2.564146,77.812919,133.79767,0.017135115,Non IoT-device,Not Available
